numero,nome,entrancia1,cargo,inicio,entrancia2,anterior,geral,cargo_criminal
250,Antonio Carlos de Campos Machado Júnior,Entrancia Final,Juiz de Direito Titular II da 19ª Vara Criminal - Capital,30/11/2006 00:00:00,"11A
                        3M 14D",10A 7M 5D,26A 3M 23D,TRUE
253,Flavio Fenoglio Guimarães,Entrancia Final,Vara do Juizado Especial Criminal da Comarca de São José dos Campos,30/11/2006 00:00:00,"11A
                        3M 14D",10A 11M 23D,25A 8M 20D,TRUE
256,Olavo Paula Leite Rocha,Entrancia Final,Vara do Juizado Especial Cível e Criminal da Comarca de Sumaré,30/11/2006 00:00:00,"11A
                        3M 14D",10A 1M 9D,25A 8M 20D,TRUE
274,Vicente Luiz Adua,Entrancia Final,Juiz de Direito Titular II da 14ª Vara Criminal - Capital,30/11/2006 00:00:00,"11A
                        3M 14D",10A 5M 23D,24A 7M 26D,TRUE
280,José Roberto Cabral Longaretti,Entrancia Final,Juiz de Direito Titular II da 13ª Vara Criminal - Capital,30/11/2006 00:00:00,"11A
                        3M 14D",10A 5M 23D,24A 7M 26D,TRUE
282,Isaura Cristina Barreira,Entrancia Final,30ª Vara Criminal - Capital,30/11/2006 00:00:00,"11A
                        3M 14D",11A 3M 13D,24A 7M 26D,TRUE
287,Jefferson Barbin Torelli,Entrancia Final,"Vara do Júri, das Execuções Criminais e da Infância e da Juventude da Comarca de Jundiaí",30/11/2006 00:00:00,"11A
                        3M 14D",10A 1M 9D,24A 7M 26D,TRUE
292,Rodrigo Capez,Entrancia Final,Juiz de Direito Titular II da 11ª Vara Criminal - Capital,30/11/2006 00:00:00,"11A
                        3M 14D",11A 3M 13D,24A 7M 26D,TRUE
296,Renata William Rached Catelli,Entrancia Final,21ª Vara Criminal - Capital,30/11/2006 00:00:00,"11A
                        3M 14D",10A 7M 5D,24A 7M 26D,TRUE
301,Marcello Ovidio Lopes Guimarães,Entrancia Final,Juiz de Direito Titular II da 18ª Vara Criminal - Capital,30/11/2006 00:00:00,"11A
                        3M 14D",10A 1M 9D,24A 7M 4D,TRUE
311,Waldir Calciolari,Entrancia Final,Juiz de Direito Titular II da 25ª Vara Criminal - Capital,30/11/2006 00:00:00,"11A
                        3M 14D",10A 5M 23D,23A 11M 14D,TRUE
320,Antonio Maria Patiño Zorz,Entrancia Final,29ª Vara Criminal - Capital,30/11/2006 00:00:00,"11A
                        3M 14D",10A 8M 9D,23A 11M 14D,TRUE
324,Patricia Alvares Cruz,Entrancia Final,Juíza de Direito Titular II da 9ª Vara Criminal - Capital,30/11/2006 00:00:00,"11A
                        3M 14D",9A 11M 28D,23A 1M 16D,TRUE
338,Caio Ventosa Chaves,Entrancia Final,4ª Vara Criminal da Comarca de Campinas,26/04/2007 00:00:00,"10A
                        10M 16D",8A 11M 19D,29A 2M 12D,TRUE
344,Abelardo de Azevedo Silveira,Entrancia Final,2ª Vara Criminal da Comarca de Campinas,26/04/2007 00:00:00,"10A
                        10M 16D",8A 8M 13D,27A 6M 18D,TRUE
345,Orlando Brossi Junior,Entrancia Final,3ª Vara Criminal da Comarca de Franca,26/04/2007 00:00:00,"10A
                        10M 16D",8A 10M 1D,27A 6M 18D,TRUE
