Delegacia_Orgaos,Delegadotitular_Diretor
"DEAM  Cabo Frio   Av. Teixeira e Souza, s/nº São Cristóvão Claudia",Claudia Marcia Faissal G. R. Nogueira
DEAM - Angra dos Reis  Rua Doutor Coutinho nº 6 Centro,Ana Carla Rodrigues Moura Duarte
"DEAM  Belford Roxo  Av. Retiro da Imprensa, 800",Tatiana Ribeiro Q. de Oliveira
"DEAM  Campo Grande  Av. Cesário de Melo, 4.138- Campo Grande",Daniele Marques Amorim
"DEAM - Campos  Rua barão de Miracema, 231 - Centro",Ana Paula de Oliveira Carvalho
"DEAM  Centro  Rua Visconde do Rio Branco, 12",Elisa Borboni de Andrade
"DEAM  Duque Caxias  Rua Tem. José Dias, 344",Giselle do Espírito Santo
"DEAM  Jacarepaguá  Rua Henriqueta, 197",Viviane da Costa Ferreira Pinto
"DEAM  Niterói  Av. Amaral Peixoto, 577, 3º Andar",Alriam Miranda Fernandes
"DEAM - Nova Friburgo  Av. Presidente Costa e Silva, .501 Centro - Nova Fribugo",Danielle Christine Bessa Netto
"DEAM  Nova Iguaçu  Av. Governador Amaral Peixoto, 950 Nova Iguaçu - Centro",Cristiane Carvalho de Almeida
"DEAM  São Gonçalo  Av. 18 do Forte, 578",Débora Ferreira Rodrigues
"DEAM  São João de Meriti  Avenida Doutor Arruda Negreiro, s/nº - 3º Andar.",Elisa Borboni de Andrade
"DEAM  Volta Redonda  Av. Lucas Evangelista, 667, 3º andar",Maria Madalena Carnevale Alves Tomelin
DPAM,Marcia Noeli Barreto
CORE  Av. Dom Hélder Câmara nº 2066,Rodrigo Teixeira de Oliveira
DAIRJ  Aeroporto Internacional 1ºandar,Patricia de Paiva Aguiar
"DAS  Av. Afrânio de Mello, 159 - Leblon",Claudio Luiz Gois da Silva
DC  Polinter Sede  Av. Dom Hélder Câmara nº 2066,Márcio Mendonça Dubugras
"DCAV  Rua do Lavradio, nº 155",Juliana Emerique de Amorim
DCOD   Av. Dom Hélder Câmara nº 2066,Felipe Lobato Curi
DDEF  Av. Dom Hélder Câmara nº 2066,José Luiz Silva Duarte
DDPA - Del. de Descoberta de Paradeiros   Av. Dom Hélder Câmara nº 2066,Elen Gomes Pereira Souto
DDSD (Del.Defesa Serviços Delegados)  Av. Dom Hélder Câmara nº 2066,Roberto Gomes Nunes
"DEAPTI  Rua Figueiredo de Magalhães, 526 Copacabana",Marcos Cipriano de Oliveira Mello
"DEAT  Av. Afranio de Melo Franco, 159",Valeria de Aragão Sádio
DECON  Av. Dom Hélder Câmara nº 2066,Ricardo Barboza de Souza
"Del. de Homicídios da Baixada Fluminense  Avenida Florípedes da Rocha, 38 -  B. Roxo",Giniton Lages
"Del. de Homicídios de Niterói, São Gonçalo e Itaboraí   Rua Desiderio de Oliveira, nº.33, - Niterói",Fabio Oliveira Barucke
"Delegacia de Homicídios da Capital   Av. Ministro Ivan Raposo , s/n - Barra da Tijuca",Fábio Cardoso Júnior
DELFAZ  Av. Dom Hélder Câmara nº 2066,Gilberto da Cruz Ribeiro
DFAE  Av. Dom Hélder Câmara nº 2066,Rafael Willis Fernandez
"DPCA  Centro  Rua do Lavradio, nº 155",Deoclécio Francisco de Assis Filho
"DPCA  Niteroi  Av. Ernane do Amaral Peixoto, 577",Pedro Henrique Brandão Medina
DPMA  Av. Dom Hélder Câmara nº 2066,José Luiz Silva Duarte
"DRACO-IE   Praça Cristiano Otoni, nº324, 3ª andar",Alexandre Herdy Barros Silva
DRCI  Av. Dom Hélder Câmara nº 2066,Daniela Campos Rodriguez Terra
"DRCPIM  Av Dom Hélder Câmara, 2066",Celso Gustavo Castello Ribeiro
"DRF  Av. D. Helder Câmara, 2.066",Hilton Pinho Alonso
DRFA    Av. Dom Hélder Câmara nº 2066,Alesandro Petralanda Santos
DRFC  Av. Dom Hélder Câmara nº 2066,Mauricio Mendonça de Carvalho
"DS - Delegacia Supervisora  Rua da Relação, 42, Térreo Centro - Rio",Luiz Carlos Tucher
"1ª CRP - Grande Niterói  Rua São João, 370 - Centro",Armando Marcio Zuccarelli
"2ª CRP - Serrana  Praça Prefeito Feliciano Costa, 1 - Nova Friburgo",Henrique Oliveira Vianna
"3ª CRP - Região dos Lagos  Av. Bernardos Vasconcelos, 555 - Araruama",Tércia Amoêdo Silveira
"4ª CRP - Macaé  Rua Barão de Miracema, 231",Jose Geraldo de Souza Araujo
"5ª CRP - Norte  Rua Cel. Luiz Ferraz, 307",Antônio das Graças Francisco Ragozo
"6ª CRP - Sul Fluminense e Costa Verde  Rua Pinto Ribeiro, 330- Barra Mansa",Wilson Raimundo de Melo
"ACADEPOL  Rua Frei Caneca, 163 - Centro",Carolina Salomão Albuquerque
"ANL - Assist. de Normas e Legislação  Rua da Relação, 42 - 11º Andar - Centro",Fernando Vila Pouca de Souza
"ASPLAN - Assessoria Geral de Planejamento e Controle  Rua da Relação, 42 - 10º",Fabíola Martire Machado Willis Fernandez
"ASSEJUR - Assessoria Jurídica   Rua da Relação, 42 - 10º",João Batista Byron
"Assinpol (Assessoria de Inteligência Policial)  Av. Dom Helder Câmara, 2066 Bl. 8A 2ªandar - Benfica",Luiz Lima Ramos Filho
"ATA  Asses. Téc. Adiministrativa  Rua da Relação, 42 - 11º Andar - Centro",Gisele de Lima Pereira
"CCC-LD  Coordenadoria de Combate  a Corrupção e a Lavagem de Dinheiro  Rua da Relação, 42  8º andar Centro",Patricia da Costa de Araujo Alemany
"CCFC - Comissão Controle e Fiscalização de Contratos  Rua da Relação, 42 - 6º andar",Marta Ferreira Dominguez
"Chefia de Gabinete  Rua da Relação, 42 - 12º andar",Antonio Carlos de Carvalho
"Chefia de Polícia  Rua da Relação, 42 - 12º andar",Carlos Augusto Neto Leba
"CIDPOL - Cidade da Polícia  Av. Dom Hélder Câmara, 2066 - Jacarezinho",Rudolph Bruno Anastácio
CINPOL - Coordenadoria de Informação e Inteligência Policiais  Av. Dom Hélder Câmara nº 2066,Luiz Lima Ramos Filho
"COINPOL  Corregedoria Interna  Rua da Relação 42, 4º, 5º e 6º andar",Paulo Passos Silva Filho
Coordenadoria de Fiscalização de Armas e Explosivos,Rafael Willis Fernandez
"DGAF - Departamento Geral de Administração e Finaças  Rua da Relação, 42  3º andar, Centro/RJ",Jessica Oliveira de Almeida
"DGPB - Depart. Geral de Polícia da Baixada  Rua Ailton Costa, s/nº",Sergio Simoes Caldas
"DGPC - Depart. Geral de Polícia da Capital  Rua da Relação, 42 - 11º Andar - Centro",Jose Pedro Costa da Silva
DGPE - Depart. Geral de Polícia Especializada   Av. Dom Hélder Câmara nº 2066,Marcelo Luiz Santos Martins
"DGPI - Depart. Geral de Polícia do Interior  R. Ernani do Amaral Peixoto,577 - 2º Andar - Niterói",Celso Pereira Couto
"DGPTC - Depart. Geral de Pol. Téc. Científica  Rua da Relação, 42 - 11º Andar - Centro",Sandra Maria Pinheiro Ornellas
"DGRH  Departamento Geral de Recursos Humanos  Rua da Relação, 42  Sala 209, Centro/RJ",Sania Burlandi Cardoso
"DGTIT  Av. Dom Helder Câmara, 2066",André Luis Drumond Flores
Museu,Cyro Advincula da Silva
"Policlínica da Polícia Civil  Rua Haddock Lobo, 60-62 - Estácio",Adriane Ribeiro do Rego Ramos
"SECOP  Rua da Relação, 42  2º andar",Maria Thereza Bhering de Araujo
"Subchefia Administrativa  Rua da Relação, 42 - 12º andar",Elizabeth Cayres Loureiro Botelho
"Subchefia Operacional  Rua da Relação, 42 - 12º andar",Fernando A Paes de A Albuquerque
"ICCE  Rua PedroI, 28, Centro - Rio",Sérgio William Silva Miana
"ICCE - Posto Angra dos Reis  Rua Dr. Coutinho, 6",Fábio de Souza Baptista
"ICCE - Posto Barra da Tijuca  Praça Desembargador Araújo Jorge, s/nº. Barra da Tijuca",Maria das Graças Freitas
