Delegacia_Orgaos,Delegadotitular_Diretor,TipoTabela
"5ª DPA - Sul Fluminense e Costa Verde  Rua Pinto Ribeiro, nº 330, Centro, Barra Mansa",Francisco Benitez Lopes,DGPI - Departamento Geral de Polícia do Interior
"6ª DPA - Campos - Norte Fluminense  Rua Barão de Miracema nº 231, Centro, Campos",Daniel José Bandeira de Melo Gomes,DGPI - Departamento Geral de Polícia do Interior
"7ª DPA - Região Serrana  Rua Alberto Torres nº 531, Alto, Teresópolis",Alexandre Ziehe,DGPI - Departamento Geral de Polícia do Interior
"10ª DEAC    Av. Brás de Pina, 1115",Francisco Coelho da Silva,CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"11ª DEAC  Rua Cap. Gaspar Soares, 301 - Nova Iguaçu",Gisele Rosemberg,CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"12ª DEAC   Rua Defensor Público Zilmar Pinaud, nº 163  São João de Meriti",Antenor de Castro Rego Neto,CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"13ª DEAC   Rua Benjamin Constant, s/nº - Piabetá",Anderson Ribeiro Pinto,CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"15ª DEAC  Rua São João, 370, Centro de Niterói",Edgar Antonio Cumani,CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"16ª DEAC   Rua São João, 370, Centro de Niterói",José de Albuquerque Magalhães Junior,CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"CGDEAC  Rua da Relação, 42 - 11º andar",Jose Augusto Pereira de Souza,CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"CIAC  Rua Pedro Alves, 187 - Stº Cristo",Antonio Ricardo L. Nunes,CDEAC - Coordenadoria das delegacias de Acervo Cartorário
"DEAM  Cabo Frio   Av. Teixeira e Souza, s/nº São Cristóvão Claudia",Claudia Marcia Faissal G. R. Nogueira,DPAM - Divisão de Polícia de Atendimento à Mulher
DEAM - Angra dos Reis  Rua Doutor Coutinho nº 6 Centro,Ana Carla Rodrigues Moura Duarte,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Belford Roxo  Av. Retiro da Imprensa, 800",Tatiana Ribeiro Q. de Oliveira,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Campo Grande  Av. Cesário de Melo, 4.138- Campo Grande",Daniele Marques Amorim,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM - Campos  Rua barão de Miracema, 231 - Centro",Ana Paula de Oliveira Carvalho,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Centro  Rua Visconde do Rio Branco, 12",Elisa Borboni de Andrade,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Duque Caxias  Rua Tem. José Dias, 344",Giselle do Espírito Santo,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Jacarepaguá  Rua Henriqueta, 197",Viviane da Costa Ferreira Pinto,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Niterói  Av. Amaral Peixoto, 577, 3º Andar",Alriam Miranda Fernandes,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM - Nova Friburgo  Av. Presidente Costa e Silva, .501 Centro - Nova Fribugo",Danielle Christine Bessa Netto,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Nova Iguaçu  Av. Governador Amaral Peixoto, 950 Nova Iguaçu - Centro",Cristiane Carvalho de Almeida,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  São Gonçalo  Av. 18 do Forte, 578",Débora Ferreira Rodrigues,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  São João de Meriti  Avenida Doutor Arruda Negreiro, s/nº - 3º Andar.",Elisa Borboni de Andrade,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Volta Redonda  Av. Lucas Evangelista, 667, 3º andar",Maria Madalena Carnevale Alves Tomelin,DPAM - Divisão de Polícia de Atendimento à Mulher
DPAM,Marcia Noeli Barreto,DPAM - Divisão de Polícia de Atendimento à Mulher
CORE  Av. Dom Hélder Câmara nº 2066,Rodrigo Teixeira de Oliveira,DGPE - Departamento Geral de Polícia Especializada
DAIRJ  Aeroporto Internacional 1ºandar,Patricia de Paiva Aguiar,DGPE - Departamento Geral de Polícia Especializada
"DAS  Av. Afrânio de Mello, 159 - Leblon",Claudio Luiz Gois da Silva,DGPE - Departamento Geral de Polícia Especializada
DC  Polinter Sede  Av. Dom Hélder Câmara nº 2066,Márcio Mendonça Dubugras,DGPE - Departamento Geral de Polícia Especializada
"DCAV  Rua do Lavradio, nº 155",Juliana Emerique de Amorim,DGPE - Departamento Geral de Polícia Especializada
DCOD   Av. Dom Hélder Câmara nº 2066,Felipe Lobato Curi,DGPE - Departamento Geral de Polícia Especializada
DDEF  Av. Dom Hélder Câmara nº 2066,José Luiz Silva Duarte,DGPE - Departamento Geral de Polícia Especializada
DDPA - Del. de Descoberta de Paradeiros   Av. Dom Hélder Câmara nº 2066,Elen Gomes Pereira Souto,DGPE - Departamento Geral de Polícia Especializada
DDSD (Del.Defesa Serviços Delegados)  Av. Dom Hélder Câmara nº 2066,Roberto Gomes Nunes,DGPE - Departamento Geral de Polícia Especializada
"DEAPTI  Rua Figueiredo de Magalhães, 526 Copacabana",Marcos Cipriano de Oliveira Mello,DGPE - Departamento Geral de Polícia Especializada
"DEAT  Av. Afranio de Melo Franco, 159",Valeria de Aragão Sádio,DGPE - Departamento Geral de Polícia Especializada
DECON  Av. Dom Hélder Câmara nº 2066,Ricardo Barboza de Souza,DGPE - Departamento Geral de Polícia Especializada
"Del. de Homicídios da Baixada Fluminense  Avenida Florípedes da Rocha, 38 -  B. Roxo",Giniton Lages,DGPE - Departamento Geral de Polícia Especializada
"Del. de Homicídios de Niterói, São Gonçalo e Itaboraí   Rua Desiderio de Oliveira, nº.33, - Niterói",Fabio Oliveira Barucke,DGPE - Departamento Geral de Polícia Especializada
"Delegacia de Homicídios da Capital   Av. Ministro Ivan Raposo , s/n - Barra da Tijuca",Fábio Cardoso Júnior,DGPE - Departamento Geral de Polícia Especializada
DELFAZ  Av. Dom Hélder Câmara nº 2066,Gilberto da Cruz Ribeiro,DGPE - Departamento Geral de Polícia Especializada
DFAE  Av. Dom Hélder Câmara nº 2066,Rafael Willis Fernandez,DGPE - Departamento Geral de Polícia Especializada
"DPCA  Centro  Rua do Lavradio, nº 155",Deoclécio Francisco de Assis Filho,DGPE - Departamento Geral de Polícia Especializada
"DPCA  Niteroi  Av. Ernane do Amaral Peixoto, 577",Pedro Henrique Brandão Medina,DGPE - Departamento Geral de Polícia Especializada
DPMA  Av. Dom Hélder Câmara nº 2066,José Luiz Silva Duarte,DGPE - Departamento Geral de Polícia Especializada
"DRACO-IE   Praça Cristiano Otoni, nº324, 3ª andar",Alexandre Herdy Barros Silva,DGPE - Departamento Geral de Polícia Especializada
DRCI  Av. Dom Hélder Câmara nº 2066,Daniela Campos Rodriguez Terra,DGPE - Departamento Geral de Polícia Especializada
"DRCPIM  Av Dom Hélder Câmara, 2066",Celso Gustavo Castello Ribeiro,DGPE - Departamento Geral de Polícia Especializada
