nome,nome_regimental,origem,camara,telefone
                Luiz Augusto de Salles Vieira,                Salles Vieira,                Concurso,Turma Especial Privado - Subseção II                                            ,                    Desembargador                                                                                                             : (11) 3295-5000
                Luiz Augusto de Salles Vieira,                Salles Vieira,                Concurso,24ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                Luiz Beethoven Giffoni Ferreira,                Luiz Beethoven Giffoni Ferreira,                Concurso,Turma Especial Privado - Subseção I                                             ,                    Des. (suplente)                                                                                                           :
                Luiz Beethoven Giffoni Ferreira,                Luiz Beethoven Giffoni Ferreira,                Concurso,2ª Câmara de Direito Privado                                                    ,                    Desembargador                                                                                                             :
                Luis Carlos de Barros,                Luis Carlos de Barros,                Concurso,20ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                Luiz Correia Lima,                Correia Lima,                Concurso,Turma Especial Privado - Subseção II                                            ,                    Desembargador                                                                                                             : (11) 3295-5000
                Luiz Correia Lima,                Correia Lima,                Concurso,20ª Câmara de Direito Privado                                                   ,                    Desembagador                                                                                                              : (11) 3295-5000
                Mário Devienne Ferraz,                Mário Devienne Ferraz,                Concurso,1ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 3274-1110
                Ricardo Henry Marques Dip,                Ricardo Dip,                Concurso,Cargos de Direção e de Cúpula                                                   ,                    Presidente da Seção de Direito Público                                                                                    : (11) 2899-5000
                Ricardo Henry Marques Dip,                Ricardo Dip,                Concurso,Câmara Especial                                                                 ,                    Presidente da Seção de Direito Público                                                                                    : (11) 2899-5000
                Ricardo Henry Marques Dip,                Ricardo Dip,                Concurso,11ª Câmara de Direito Público                                                   ,                    Desembargador                                                                                                             : (11) 2899-5000
                Ricardo Henry Marques Dip,                Ricardo Dip,                Concurso,Seção de Direito Público                                                        ,                    Desembargadpr                                                                                                             : (11) 2899-5000
                Ricardo Santos Feitosa,                Ricardo Feitosa,                Concurso,4ª Câmara de Direito Público                                                    ,                    Desembargador                                                                                                             : (11) 2899-5000
                Antonio Carlos Tristão Ribeiro,                Tristão Ribeiro,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3274-1110
                Antonio Carlos Tristão Ribeiro,                Tristão Ribeiro,                Concurso,5ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 3274-1110
                Antonio Teixeira da Silva Russo,                Silva Russo,                Concurso,15ª Câmara de Direito Público                                                   ,                    Desembargador                                                                                                             : (11) 2899-5000
                Cyro Ricardo Saltini Bonilha,                Cyro Bonilha,                Concurso,16ª Câmara de Direito Público                                                   ,                    Desembargador                                                                                                             : (11) 2899-5000
                Elcio Trujillo,                ELCIO TRUJILLO,                Concurso,Turma Especial Privado - Subseção I                                             ,                    Desembargador                                                                                                             : (11) 3295-5271
                Elcio Trujillo,                ELCIO TRUJILLO,                Concurso,10ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5271
                Gilberto Pinto dos Santos,                Gilberto dos Santos,                Concurso,Turma Especial Privado - Subseção II                                            ,                    Desembargador                                                                                                             : (11) 3295-5000
                Gilberto Pinto dos Santos,                Gilberto dos Santos,                Concurso,11ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                Luis Soares de Mello Neto,                Luis Soares de Mello,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3274-1110
                Luis Soares de Mello Neto,                Luis Soares de Mello,                Concurso,"5ª Câmara Criminal ""D""                                                          ",                    Desembargador                                                                                                             : (11) 3274-1110
                Luis Soares de Mello Neto,                Luis Soares de Mello,                Concurso,4ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 3274-1110
                Reinaldo Felipe Ferreira,                FELIPE FERREIRA,                Concurso,26ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4432
                Sebastião Flávio da Silva Filho,                Sebastião Flávio,                Concurso,23ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3241-1222
                Vicente Antonio Marcondes D Angelo,                Marcondes D Angelo,                Concurso,Turma Especial Privado - Subseção III                                           ,                    Desembargador                                                                                                             : (11) 2895-4412
                Vicente Antonio Marcondes D Angelo,                Marcondes D Angelo,                Concurso,25ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4412
                Antonio Carlos Villen,                Antonio Carlos Villen,                Concurso,10ª Câmara de Direito Público                                                   ,                    Desembargador                                                                                                             : (11) 2899-5000
                Carlos Alberto Russo,                Carlos Russo,                Concurso,30ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4480
                Carlos Alberto de Sá Duarte,                Sá Duarte,                Concurso,33ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4520
                Geraldo Francisco Pinheiro Franco,                Pinheiro Franco,                Concurso,Câmara Especial de Presidentes                                                  ,                    Presidente da Seção de Direito criminal                                                                                   : (11) 3274-1110
                Geraldo Francisco Pinheiro Franco,                Pinheiro Franco,                Concurso,5ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 3274-1110
                Geraldo Francisco Pinheiro Franco,                Pinheiro Franco,                Concurso,Órgão Especial                                                                  ,                    Membro eleito                                                                                                             : (11) 3274-1110
                Geraldo Francisco Pinheiro Franco,                Pinheiro Franco,                Concurso,Conselho Superior de Magistratura                                               ,                    Corregedor Geral da Justiça                                                                                               : (11) 3274-1110
                Ivan Ricardo Garisio Sartori,                Ivan Sartori,                Concurso,4ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 2899-5000
                Luiz Eurico Costa Ferrari,                Luiz Eurico,                Concurso,Turma Especial Privado - Subseção III                                           ,                    Desembargador                                                                                                             : (11) 2895-4522
                Luiz Eurico Costa Ferrari,                Luiz Eurico,                Concurso,33ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4522
                Berenice Marcondes Cesar,                Berenice Marcondes Cesar,                Concurso,Turma Especial Privado - Subseção III                                           ,                    Desembargadora (Suplente)                                                                                                 : (11) 2895-4458
                Berenice Marcondes Cesar,                Berenice Marcondes Cesar,                Concurso,28ª Câmara de Direito Privado                                                   ,                    Desembargadora                                                                                                            : (11) 2895-4458
                Claudio Hamilton Barbosa,                Claudio Hamilton Barbosa,                Concurso,25ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4418
                Carlos Eduardo Donegá Morandini,                Donegá Morandini,                Concurso,Turma Especial Privado - Subseção I                                             ,                    Desembargador                                                                                                             : (11) 3295-5000
                Carlos Eduardo Donegá Morandini,                Donegá Morandini,                Concurso,3ª Câmara de Direito Privado                                                    ,                    Desembargador                                                                                                             : (11) 3295-5000
                Fernando Antonio Maia da Cunha,                Maia da Cunha,                Concurso,1ª Câmara Reservada de Direito Empresarial                                      ,                    Desembargador                                                                                                             : (11) 3295-5000
                Fernando Antonio Maia da Cunha,                Maia da Cunha,                Concurso,Turma Especial Privado - Subseção I                                             ,                    Des. (suplente)                                                                                                           : (11) 3295-5000
                Fernando Antonio Maia da Cunha,                Maia da Cunha,                Concurso,4ª Câmara de Direito Privado                                                    ,                    Desembargador                                                                                                             : (11) 3295-5000
                Fernando Antonio Maia da Cunha,                Maia da Cunha,                Concurso,1ª Câmara Reservada de Direito Empresarial                                      ,                    Desembargador                                                                                                             : (11) 3295-5000
                Fernando Antonio Maia da Cunha,                Maia da Cunha,                Concurso,Turma Especial Privado - Subseção I                                             ,                    Des. (suplente)                                                                                                           : (11) 3295-5000
                Fernando Antonio Maia da Cunha,                Maia da Cunha,                Concurso,4ª Câmara de Direito Privado                                                    ,                    Desembargador                                                                                                             : (11) 3295-5000
                João Camillo de Almeida Prado Costa,                João Camillo de Almeida Prado Costa,                Concurso,Turma Especial Privado - Subseção II                                            ,                    Desembargador                                                                                                             : (11) 3295-5514
                João Camillo de Almeida Prado Costa,                João Camillo de Almeida Prado Costa,                Concurso,19ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5514
                José Roberto Coutinho de Arruda,                Coutinho de Arruda,                Concurso,Turma Especial Privado - Subseção II                                            ,                    Desembargador                                                                                                             : (11) 3295-5000
                José Roberto Coutinho de Arruda,                Coutinho de Arruda,                Concurso,16ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                Luiz Antonio Cerqueira Leite,                Cerqueira Leite,                Concurso,12ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                Mario Carlos de Oliveira,                MARIO DE OLIVEIRA,                Concurso,19ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                Rui Cascaldi,                Rui Cascaldi,                Concurso,Turma Especial Privado - Subseção I                                             ,                    Desembargador                                                                                                             : (11) 3295-5000
                Rui Cascaldi,                Rui Cascaldi,                Concurso,1ª Câmara de Direito Privado                                                    ,                    Desembargador                                                                                                             : (11) 3295-5000
                Sebastião Thiago de Siqueira,                Thiago de Siqueira,                Concurso,14ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                Jovino de Sylos Neto,                Jovino de Sylos,                Concurso,16ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                Willian Roberto de Campos,                Willian Campos,                Concurso,15ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3274-1110
                Aldemar José Ferreira da Silva,                Aldemar Silva,                Concurso,17ª Câmara de Direito Público                                                   ,                    Desembargador                                                                                                             : (11) 2899-5000
                Antonio Celso Aguilar Cortez,                Antonio Celso Aguilar Cortez,                Concurso,Turma Especial Público                                                          ,                    Desembargador (Suplente)                                                                                                  : (11) 2899-5000
                Antonio Celso Aguilar Cortez,                Antonio Celso Aguilar Cortez,                Concurso,10ª Câmara de Direito Público                                                   ,                    Desembargador                                                                                                             : (11) 2899-5000
                Antonio Celso Aguilar Cortez,                Antonio Celso Aguilar Cortez,                Concurso,Órgão Especial                                                                  ,                    Membro eleito                                                                                                             : (11) 2899-5000
                Artur Cesar Beretta da Silveira,                Beretta da Silveira,                Concurso,Turma Especial Privado - Subseção I                                             ,                    Desembargador                                                                                                             :
                Artur Cesar Beretta da Silveira,                Beretta da Silveira,                Concurso,3ª Câmara de Direito Privado                                                    ,                    Desembargador                                                                                                             :
